triphone	desired number	missing number
C0iou-C0n+C0ian   	491 	421 
C0l-C0ing+C0i     	490 	417 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	382 
C0l-C0ing+C0l     	456 	376 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	332 

step: 68
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	786 
C0er-C0l+C0ing    	764 	694 
C0iou-C0n+C0ian   	491 	421 
C0l-C0ing+C0i     	490 	417 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	382 
C0l-C0ing+C0l     	456 	375 
sil-C0er+C0l      	345 	335 
