triphone	desired number	missing number
C0i-C0n+C0ian     	540 	400 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	357 
sil-C0er+C0l      	345 	338 

step: 16
C0n-C0ian+sp      	1187	925 
C0i-C0j+C0iou     	1025	823 
C0er-C0l+C0ing    	764 	734 
C0iou-C0n+C0ian   	491 	436 
C0l-C0ing+C0i     	490 	435 
C0l-C0ing+C0l     	456 	406 
C0i-C0n+C0ian     	540 	399 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	357 
sil-C0er+C0l      	345 	338 

step: 17
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	823 
C0er-C0l+C0ing    	764 	733 
C0iou-C0n+C0ian   	491 	435 
C0l-C0ing+C0i     	490 	435 
C0l-C0ing+C0l     	456 	404 
C0i-C0n+C0ian     	540 	399 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	356 
sil-C0er+C0l      	345 	338 

step: 18
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	822 
C0er-C0l+C0ing    	764 	733 
C0iou-C0n+C0ian   	491 	435 
C0l-C0ing+C0i     	490 	435 
C0l-C0ing+C0l     	456 	404 
C0i-C0n+C0ian     	540 	399 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	356 
sil-C0er+C0l      	345 	338 

step: 19
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	822 
C0er-C0l+C0ing    	764 	733 
C0iou-C0n+C0ian   	491 	435 
C0l-C0ing+C0i     	490 	435 
C0l-C0ing+C0l     	456 	404 
C0i-C0n+C0ian     	540 	399 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	356 
sil-C0er+C0l      	345 	338 

step: 20
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	822 
C0er-C0l+C0ing    	764 	733 
C0iou-C0n+C0ian   	491 	435 
C0l-C0ing+C0i     	490 	435 
C0l-C0ing+C0l     	456 	404 
C0i-C0n+C0ian     	540 	399 
sil-C0i+C0j       	482 	390 
C0ing-C0l+C0ing   	411 	356 
sil-C0er+C0l      	345 	338 

step: 21
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	733 
C0l-C0ing+C0i     	490 	435 
C0iou-C0n+C0ian   	491 	433 
C0l-C0ing+C0l     	456 	404 
C0i-C0n+C0ian     	540 	399 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	356 
sil-C0er+C0l      	345 	338 

step: 22
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	732 
C0l-C0ing+C0i     	490 	434 
C0iou-C0n+C0ian   	491 	433 
C0l-C0ing+C0l     	456 	404 
C0i-C0n+C0ian     	540 	398 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	356 
sil-C0er+C0l      	345 	338 

step: 23
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	731 
C0l-C0ing+C0i     	490 	434 
C0iou-C0n+C0ian   	491 	433 
C0l-C0ing+C0l     	456 	403 
C0i-C0n+C0ian     	540 	397 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	355 
sil-C0er+C0l      	345 	338 

step: 24
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	730 
C0iou-C0n+C0ian   	491 	433 
C0l-C0ing+C0i     	490 	433 
C0l-C0ing+C0l     	456 	403 
C0i-C0n+C0ian     	540 	396 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	355 
sil-C0er+C0l      	345 	338 

step: 25
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	729 
C0iou-C0n+C0ian   	491 	432 
C0l-C0ing+C0i     	490 	432 
C0l-C0ing+C0l     	456 	403 
C0i-C0n+C0ian     	540 	396 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	355 
sil-C0er+C0l      	345 	338 

step: 26
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	728 
C0iou-C0n+C0ian   	491 	432 
